end_balance,top_cut_off,down_cut_off,if_short
2808.5763651306,0.0,0.0,True
2574.864184905999,0.0,0.0,False
2391.6941192565796,0.0,0.2,True
2421.8182007080027,0.0,0.2,False
2789.2736348083395,0.0,0.4,True
2523.135999346919,0.0,0.4,False
3569.4828443664446,0.0,0.6000000000000001,True
2667.8253800170846,0.0,0.6000000000000001,False
3099.254672149647,0.0,0.8,True
2596.7410447082466,0.0,0.8,False
2772.435385998527,0.0,1.0,True
2449.009822619625,0.0,1.0,False
3316.043252380362,0.0,1.2000000000000002,True
2675.6230180725065,0.0,1.2000000000000002,False
4259.880591833487,0.0,1.4000000000000001,True
3338.8780725585902,0.0,1.4000000000000001,False
3822.030471386712,0.0,1.6,True
3237.206243365476,0.0,1.6,False
3927.949889807123,0.0,1.8,True
3172.5214708923313,0.0,1.8,False
4466.71316311645,0.0,2.0,True
3262.710950738523,0.0,2.0,False
5158.735721386714,0.0,2.2,True
3548.718969244383,0.0,2.2,False
4560.238107537838,0.0,2.4000000000000004,True
3274.354570318602,0.0,2.4000000000000004,False
3788.089212341307,0.0,2.6,True
2964.5161265930165,0.0,2.6,False
2701.5747432250955,0.0,2.8000000000000003,True
2331.020227410888,0.0,2.8000000000000003,False
2812.7000217041,0.0,3.0,True
2431.2928294921867,0.0,3.0,False
2621.535823791503,0.0,3.2,True
2342.513185485839,0.0,3.2,False
2487.4054412597643,0.0,3.4000000000000004,True
2342.513185485839,0.0,3.4000000000000004,False
2487.4054412597643,0.0,3.6,True
2342.513185485839,0.0,3.6,False
2484.8168544555656,0.0,3.8000000000000003,True
2342.513185485839,0.0,3.8000000000000003,False
2622.9575469116066,0.2,0.0,True
2366.6795593444767,0.2,0.0,False
2268.6982754272344,0.2,0.2,True
2292.003526385494,0.2,0.2,False
2612.170580810537,0.2,0.4,True
2394.078759863278,0.2,0.4,False
3312.294621527091,0.2,0.6000000000000001,True
2478.539624914547,0.2,0.6000000000000001,False
2910.687373309317,0.2,0.8,True
2432.838689562984,0.2,0.8,False
2634.586011254876,0.2,1.0,True
2332.192697332761,0.2,1.0,False
3006.4165300781174,0.2,1.2000000000000002,True
2420.932096319578,0.2,1.2000000000000002,False
3836.0353693908614,0.2,1.4000000000000001,True
3011.839944689939,0.2,1.4000000000000001,False
3467.523709857172,0.2,1.6,True
2910.5303896606424,0.2,1.6,False
3559.8978230224548,0.2,1.8,True
2882.51559246826,0.2,1.8,False
4008.829602954097,0.2,2.0,True
2910.5418643005355,0.2,2.0,False
4464.934276397701,0.2,2.2,True
3087.155813134764,0.2,2.2,False
4522.385314807127,0.2,2.4000000000000004,True
3260.4809359863266,0.2,2.4000000000000004,False
3365.227727819823,0.2,2.6,True
2624.1207828186025,0.2,2.6,False
2410.0448779663075,0.2,2.8000000000000003,True
2077.052949890136,0.2,2.8000000000000003,False
2411.9127292297353,0.2,3.0,True
2077.052949890136,0.2,3.0,False
2240.887901281738,0.2,3.2,True
2032.682485571289,0.2,3.2,False
2137.4372844482414,0.2,3.4000000000000004,True
2032.682485571289,0.2,3.4000000000000004,False
2137.4372844482414,0.2,3.6,True
2032.682485571289,0.2,3.6,False
2118.253221496582,0.2,3.8000000000000003,True
2032.682485571289,0.2,3.8000000000000003,False
2315.0685470458848,0.4,0.0,True
2104.999921508785,0.4,0.0,False
1986.4291657714723,0.4,0.2,True
2015.4674737548792,0.4,0.2,False
2432.738696112051,0.4,0.4,True
2211.4967172363254,0.4,0.4,False
3008.1293708190838,0.4,0.6000000000000001,True
2256.2395837829563,0.4,0.6000000000000001,False
2612.5502617126376,0.4,0.8,True
2172.199254815671,0.4,0.8,False
2301.885856060785,0.4,1.0,True
2026.6317461608867,0.4,1.0,False
2588.2590765869077,0.4,1.2000000000000002,True
2074.2403429809556,0.4,1.2000000000000002,False
2996.280883355707,0.4,1.4000000000000001,True
2350.6818484252913,0.4,1.4000000000000001,False
2786.6983257629354,0.4,1.6,True
2332.727357781981,0.4,1.6,False
2994.1245305236766,0.4,1.8,True
2417.3018168701155,0.4,1.8,False
