,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sma_5,ema_5,wma_5,bb_5_up,bb_5_down,sma_10,ema_10,wma_10,bb_10_up,bb_10_down,sma_20,ema_20,wma_20,bb_20_up,bb_20_down,sma_50,ema_50,wma_50,bb_50_up,bb_50_down,sma_100,ema_100,wma_100,bb_100_up,bb_100_down,macd,signal
0,2018-12-11,47.6374693360499,47.92190231541292,46.80379059400643,47.27457427978516,12474126,0.0,0,,47.27457427978516,,,,,47.27457427978516,,,,,47.27457427978516,,,,,47.27457427978516,,,,,47.27457427978516,,,,0.0,0.0
1,2018-12-12,48.10825407537172,49.25579237452092,47.4903488373683,47.519775390625,11453591,0.0,0,,47.421694946289065,,,,,47.40943489074707,,,,,47.40330486297608,,,,,47.39962684631348,,,,,47.39840084075929,,,,0.019560202574112395,0.003912040514822479
2,2018-12-13,47.81401462890449,48.3142211357046,46.80477177861837,47.57862091064453,7755190,0.0,0,,47.496028297825866,,,,,47.47744654658625,,,,,47.467679864659495,,,,,47.46169371224137,,,,,47.45967962922966,,,,0.03935646883660837,0.011000926179179658
3,2018-12-14,46.55859092246078,47.51977475683744,46.06819077789374,46.83321380615234,7161356,0.0,0,,47.220705355130704,,,,,47.26520056205221,,,,,47.284519323268135,,,,,47.29502340431931,,,,,47.298333672829706,,,,-0.0050448177130917315,0.007791777400725381
4,2018-12-17,46.68609550432654,47.49035149788282,45.7445280594006,46.176082611083984,10064952,0.0,0,47.076453399658206,46.819689041065374,46.8842170715332,48.24169652307663,45.911210276239785,,46.95254441962116,,,,,47.016397915182466,,,,,47.05298154560486,,,,,47.064816585698296,,,,-0.09219538179351616,-0.012205654438122927
5,2018-12-18,46.83321677089905,46.93129530943879,45.88183923294667,46.41147232055664,8776092,0.0,0,46.9038330078125,46.67052112665392,46.662556711832686,48.17338036442819,45.63428565119681,,46.81200930587985,,,,,46.88878624614649,,,,,46.93509241323504,,,,,46.950409491067404,,,,-0.14064755196362455,-0.03789403394322326
6,2018-12-19,46.42127956957817,47.1961089559723,44.97459689545922,45.44047927856445,8363273,0.0,0,46.48797378540039,46.23501820909335,46.17477213541667,48.07197982842021,44.90396774238057,,46.48152566498307,,,,,46.61494724679607,,,,,46.69511859839657,,,,,46.721549449871965,,,,-0.2544639672476876,-0.08120802060411614
7,2018-12-20,45.29336077362001,46.81369785614483,45.04825796230215,46.14665603637695,9849358,0.0,0,46.20158081054687,46.20436823736761,46.06099955240885,47.2144762237516,45.18868539734214,,46.405341210647144,,,,,46.53400075801013,,,,,46.61658718877445,,,,,46.644557905304964,,,,-0.2844033094567351,-0.12184707837463994
8,2018-12-21,46.70571317107143,47.03918545080846,44.09678430305462,44.96969604492188,19308946,0.0,0,45.82887725830078,45.78181937425998,45.65037129720052,47.033035579888235,44.62471893671332,,46.09299506193569,,,,,46.283078632953654,,,,,46.40298561780777,,,,,46.44323079473737,,,,-0.3985075420219957,-0.1771791711041111
9,2018-12-24,44.47929395079887,45.40124866551923,43.07674916438742,43.14540863037109,6869860,0.0,0,45.2227424621582,44.88750704902146,44.755881754557294,47.80991323890563,42.635571685410774,46.1495979309082,45.47383636014235,45.54854625355114,48.86922656276608,43.42996929905032,,45.810572717954976,,,,,46.015536331933,,,,,46.08298522689503,,,,-0.6288912496994286,-0.2675215868231746
10,2018-12-26,43.576957081309416,45.5581741114146,42.87077967690783,45.52874755859375,12028844,0.0,0,45.046197509765626,45.10375391993297,44.85788345336914,47.33052946238897,42.761865557142286,45.975015258789064,45.48505403148937,45.435664367675784,48.59603686364092,43.35399365393721,,45.77035828981295,,,,,45.9619136287436,,,,,46.027411956403036,,,,-0.612100550617555,-0.3364373795820507
11,2018-12-27,44.83237850725946,46.15646108897474,44.3419783825033,46.136844635009766,7529434,0.0,0,45.18547058105469,45.45079223622251,45.221432495117185,47.66644630976319,42.70449485234619,45.836722183227536,45.61528060116356,45.465087890625,48.231680053800254,43.44176431265482,,45.82028404834978,,,,,45.9799068813839,,,,,46.03756754575356,,,,-0.5434607711599071,-0.377842057897622
12,2018-12-28,46.41147154866552,46.67148031664912,45.21489394280823,45.90145492553711,5783802,0.0,0,45.13643035888672,45.60178898886907,45.460093943278,47.53058406145265,42.74227665632079,45.6690055847168,45.671447821470345,45.476857480135834,47.73398261243737,43.60402855699623,,45.83090639648426,,,,,45.97232022197197,,,,,46.02579537101117,,,,-0.5022674077118765,-0.40272712786047293
13,2018-12-31,46.13684631940349,46.41146920202713,45.12661948133367,45.67586898803711,7789604,0.0,0,45.27766494750976,45.62656719937274,45.639906819661455,47.705715525557686,42.84961436946184,45.55327110290527,45.67230319939546,45.47810537164862,47.45122490188938,43.65531730392116,,45.811315519668256,,,,,45.94521054885115,,,,,45.997422832682716,,,,-0.482265019310006,-0.41863470615037957
14,2019-01-02,44.38121370643556,46.59782074475933,44.27008871484097,46.12703704833984,7245714,0.0,0,45.87399063110352,45.793772321720624,45.923030853271484,46.414660556919394,45.33332070528764,45.54836654663086,45.7592684869979,45.58242645263672,47.43940823964607,43.65732485361565,,45.85000657780044,,,,,45.96101272284001,,,,,46.00732532187426,,,,-0.4251071202324326,-0.4199291889667902
15,2019-01-03,45.54836767490858,45.75669197151124,44.13601649402414,44.489105224609375,8266386,0.0,0,45.66606216430664,45.35822018786463,45.461402384440106,47.035320190452076,44.2968041381612,45.356129837036136,45.518625264326204,45.38983348499645,47.24805660174662,43.46420307232565,,45.68766432849877,,,,,45.83891531912044,,,,,45.89754694594203,,,,-0.5061419929879563,-0.43717174977102347
16,2019-01-04,45.11681627310937,46.63705607315112,44.26352101294314,46.26435089111328,9081988,0.0,0,45.69156341552734,45.66057062898415,45.660831960042316,47.108577614114346,44.274549216940336,45.438516998291014,45.65883805088649,45.55496458573775,47.41656257671198,43.460471419870046,,45.75484164843259,,,,,45.8727271737477,,,,,45.9227464369865,,,,-0.42224781456548044,-0.43418696272991486
17,2019-01-07,46.33301033966061,48.13758212020477,46.18588879007184,47.56881713867188,9112144,0.0,0,46.0250358581543,46.297083488613346,46.286583201090494,48.245832333323754,43.80423938298484,45.580733108520505,46.015741894817644,45.942291883988815,47.95072685149926,43.21073936554175,,45.96175191426066,,,,,46.002308407113674,,,,,46.030559881895776,,,,-0.24764683092990936,-0.3968789363699138
